,id,tomato1,tomato2,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,finsave,finsaveqty,sexf,books,impulse,finplan,fincompare,impulse_regret,saveatt_item,saveatt,B1,B2,B3,B4,B5,B6,B7,A1,A2,A3,A4,A5,A6,A7,C1,C2,C3,C4,C5,C6,C7,schoolID,treatment,budget_ind,fin02c_,cityd1,cityd2,cityd3,grade8,agemonths,ageyrs,homemum,homedad,cogn1,cogn2,cogn3,cogn4,relmath,migrantbackground,month_APR
626,908,1.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,15.0,0.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,22,0,17.5,20.0,0,0,1,1.0,172.0,14.333333,1.0,1.0,1.0,0.0,0.0,0.0,1.4210527,0.0,0.0
627,1049,0.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,50.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,15,0,10.0,20.0,1,0,0,0.0,166.0,13.833333,1.0,1.0,1.0,0.0,0.0,0.0,1.2142856,1.0,1.0
628,1042,1.0,0.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,,0.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,15,0,50.0,20.0,1,0,0,0.0,160.0,13.333333,1.0,0.0,1.0,0.0,0.0,0.0,0.21428561,1.0,1.0
629,368,0.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,50.0,0.0,1.0,,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,22,0,20.0,15.0,0,0,1,1.0,173.0,14.416667,1.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0
630,904,0.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,,1.0,2.0,3.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,22,0,80.0,20.0,0,0,1,1.0,175.0,14.583333,0.0,1.0,1.0,1.0,0.0,0.0,-0.5789473,1.0,0.0
631,1046,1.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,0.0,,1.0,2.0,3.0,2.0,3.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,15,0,20.0,20.0,1,0,0,0.0,160.0,13.333333,1.0,0.0,0.0,0.0,0.0,0.0,1.2142856,1.0,1.0
632,382,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,15.0,0.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,22,0,10.0,25.0,0,0,1,1.0,182.0,15.166667,1.0,1.0,1.0,1.0,1.0,0.0,1.25,0.0,1.0
633,1041,0.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,20.0,0.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,15,0,40.0,10.0,1,0,0,0.0,166.0,13.833333,1.0,1.0,0.0,0.0,0.0,0.0,-0.7857144,1.0,1.0
634,379,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,,0.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,22,0,40.0,80.0,0,0,1,1.0,170.0,14.166667,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
635,1038,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,50.0,0.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,15,0,60.0,,1,0,0,0.0,161.0,13.416667,1.0,0.0,0.0,0.0,0.0,0.0,-0.7857144,0.0,1.0
636,1039,0.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,260.0,0.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,15,0,80.0,190.0,1,0,0,0.0,157.0,13.083333,1.0,1.0,0.0,1.0,0.0,0.0,-0.7857144,1.0,1.0
637,916,0.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,60.0,0.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,22,0,130.0,200.0,0,0,1,1.0,184.0,15.333333,1.0,1.0,0.0,1.0,0.0,1.0,-0.5789473,0.0,0.0
638,919,0.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,0.0,,0.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,22,0,50.0,15.0,0,0,1,1.0,186.0,15.5,1.0,1.0,0.0,0.0,0.0,0.0,0.4210527,0.0,0.0
639,912,1.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,50.0,0.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,22,0,7.5,5.0,0,0,1,1.0,178.0,14.833333,0.0,0.0,0.0,0.0,0.0,0.0,1.4210527,1.0,0.0
640,375,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,55.0,0.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,,22,0,10.0,15.0,0,0,1,1.0,185.0,15.416667,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0
641,910,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,,1.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,22,0,20.0,20.0,0,0,1,1.0,187.0,15.583333,1.0,1.0,0.0,0.0,0.0,0.0,0.4210527,1.0,0.0
642,380,,,3.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,,1.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,0,50.0,,0,0,1,1.0,173.0,14.416667,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.0,1.0
643,369,0.0,0.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,30.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,22,0,10.0,,0,0,1,1.0,174.0,14.5,1.0,0.0,1.0,0.0,0.0,0.0,-0.75,1.0,1.0
